"Setting Applicability 
(refer to compliance section under Cover tab)",Category,CIS Section Header,CIS #,"CIS Setting Title
(for reference only)",Synapxe Setting Title,Synapxe Remediation Steps,Synapxe Verification Procedure,"Synapxe Exceptions
(Default exceptions to refer to CIS Benchmark)",Change Description / Remarks,"Manual Check 
(Y/N)?",Covered in Script,Notes
Existing,ADOPT,Configure SSH Server,4.2.2,Ensure permissions on SSH private host key files are configured,Ensure permissions on SSH private host key files are configured,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
Existing,ADOPT,Configure SSH Server,4.2.3,Ensure permissions on SSH public host key files are configured,Ensure permissions on SSH public host key files are configured,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
New,ADOPT,Configure SSH Server,4.2.4,Ensure sshd access is configured,Ensure sshd access is configured,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
New,ADOPT,Configure SSH Server,4.2.6,Ensure sshd Ciphers are configured,Ensure sshd Ciphers are configured,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
New,ADOPT,Configure SSH Server,4.2.7,Ensure sshd ClientAliveInterval and ClientAliveCountMax are configured,Ensure sshd ClientAliveInterval and ClientAliveCountMax are configured,Adopt CIS.,Adopt CIS.,NIL,"ClientAliveInterval to set to value of ""300"",
ClientAliveCountMax to set to value of ""3"".

Amend setting where necessary.",N,YES,Implemented in audit/remediation script.
New,ADOPT,Configure SSH Server,4.2.8,Ensure sshd DisableForwarding is enabled,Ensure sshd DisableForwarding is enabled,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
New,ADOPT,Configure SSH Server,4.2.9,Ensure sshd HostbasedAuthentication is disabled,Ensure sshd HostbasedAuthentication is disabled,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
New,ADOPT,Configure SSH Server,4.2.10,Ensure sshd IgnoreRhosts is enabled,Ensure sshd IgnoreRhosts is enabled,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
New,ADOPT,Configure SSH Server,4.2.11,Ensure sshd KexAlgorithms is configured,Ensure sshd KexAlgorithms is configured,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
New,ADOPT,Configure SSH Server,4.2.12,Ensure sshd LoginGraceTime is configured,Ensure sshd LoginGraceTime is configured,"Adopt CIS.

Edit the /etc/ssh/sshd_config file to set the parameter as follows:

LoginGraceTime 60",Adopt CIS.,NIL,"LoginGraceTime to set to value of ""1 min (60 sec)"". 

Amend setting where necessary.",N,YES,Implemented in audit/remediation script.
New,ADOPT,Configure SSH Server,4.2.13,Ensure sshd LogLevel is configured,Ensure SSH LogLevel is set to VERBOSE,"Adopt CIS.

Edit the /etc/ssh/sshd_config file to set the parameter as follows:

LogLevel VERBOSE",Adopt CIS.,NIL,"LogLevel to set is VERBOSE. 

Amend seting where necessary.",N,YES,Implemented in audit/remediation script.
New,ADOPT,Configure SSH Server,4.2.14,Ensure sshd MACs are configured,Ensure sshd MACs are configured,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
New,ADOPT,Configure SSH Server,4.2.15,Ensure sshd MaxAuthTries is configured,Ensure SSH MaxAuthTries is set to 10 (or lower),"Adopt CIS.

Edit the /etc/ssh/sshd_config file to set the parameter as follows:

MaxAuthTries 10 (or lower)",Adopt CIS.,NIL,"MaxAuthTries to set to value of ""10"" (or lower).

Amend setting where necessary.

Reference HIM-ADS #2.2/S1 (j).",N,YES,Implemented in audit/remediation script.
New,ADOPT,Configure SSH Server,4.2.16,Ensure sshd MaxSessions is configured,Ensure SSH MaxSessions is set to 5,"Adopt CIS.

Edit the /etc/ssh/sshd_config file to set the parameter as follows:

MaxSessions 5",Adopt CIS.,NIL,"MaxSessions to set to value of ""5"". Amend setting where necessary.",N,YES,Implemented in audit/remediation script.
New,ADOPT,Configure SSH Server,4.2.17,Ensure sshd MaxStartups is configured,Ensure sshd MaxStartups is configured,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
New,ADOPT,Configure SSH Server,4.2.18,Ensure sshd PermitEmptyPasswords is disabled,Ensure sshd PermitEmptyPasswords is disabled,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
New,ADOPT,Configure SSH Server,4.2.19,Ensure sshd PermitRootLogin is disabled,Ensure sshd PermitRootLogin is disabled,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
New,ADOPT,Configure SSH Server,4.2.20,Ensure sshd PermitUserEnvironment is disabled,Ensure sshd PermitUserEnvironment is disabled,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
New,ADOPT,Configure SSH Server,4.2.21,Ensure sshd UsePAM is enabled,Ensure sshd UsePAM is enabled,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
New,ADOPT,Configure SSH Server,4.2.22,Ensure sshd crypto_policy is not set,Ensure sshd crypto_policy is not set,Adopt CIS.,Adopt CIS.,NIL,"For H-Cloud, current operational norm is to harden the respective configuration file directly. In order to adopt CIS recommendation to harden via system wide policies, the Unix team requires lead time to perform testing in Staging environment before rollout in Production environment. 

Target completion : By end FY25.",N,YES,Implemented in audit/remediation script.
Existing,ADOPT,Configure privilege escalation,4.3.1,Ensure sudo is installed,Ensure sudo is installed,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
Existing,ADOPT,Configure privilege escalation,4.3.2,Ensure sudo commands use pty,Ensure sudo commands use pty,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
Existing,ADOPT,Configure privilege escalation,4.3.3,Ensure sudo log file exists,Ensure sudo log file exists,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
N.A.,NOT ADOPTED,Configure privilege escalation,4.3.4,Ensure users must provide password for escalation,N.A.,N.A.,N.A.,N.A.,"Based on current mode of operation, access to RHEL servers is via PAM, and access control on who can execute “sudo” and the commands allowed are specified in “/etc/sudoers”. 

RHEL admins do not hold on to any passwords.",N,YES,Implemented in audit/remediation script.
Existing,ADOPT,Configure privilege escalation,4.3.5,Ensure re-authentication for privilege escalation is not disabled globally,Ensure re-authentication for privilege escalation is not disabled globally,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
Existing,ADOPT,Configure privilege escalation,4.3.6,Ensure sudo authentication timeout is configured correctly,Ensure sudo authentication timeout is configured correctly,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
Existing,ADOPT,Configure privilege escalation,4.3.7,Ensure access to the su command is restricted,Ensure access to the su command is restricted,Adopt CIS.,Adopt CIS.,"Account ""pamunixrecon"" and ""pamunixread"" are included in /etc/sugroup as part of Synapxe PAM requirement.",NIL,N,YES,Implemented in audit/remediation script.
2024-11-20 00:00:00,ADOPT,Configure PAM software packages,4.4.1.1,Ensure latest version of pam is installed,Ensure latest version of pam is installed,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
New,ADOPT,Configure PAM software packages,4.4.1.2,Ensure latest version of authselect is installed,Ensure latest version of authselect is installed,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
New,ADOPT,Configure authselect,4.4.2.1,Ensure active authselect profile includes pam modules,Ensure active authselect profile includes pam modules,Adopt CIS.,Adopt CIS.,NIL,"For H-Cloud, current operational norm is to harden the respective configuration file directly. In order to adopt CIS recommendation to harden via system wide policies, the Unix team requires lead time to perform testing in Staging environment before rollout in Production environment. 

Target completion : By end FY25.",N,YES,Implemented in audit/remediation script.
New,ADOPT,Configure authselect,4.4.2.2,Ensure pam_faillock module is enabled,Ensure pam_faillock module is enabled,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
New,ADOPT,Configure authselect,4.4.2.3,Ensure pam_pwquality module is enabled,Ensure pam_pwquality module is enabled,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
New,ADOPT,Configure authselect,4.4.2.4,Ensure pam_pwquality module is enabled,Ensure pam_pwquality module is enabled,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
New,ADOPT,Configure authselect,4.4.2.5,Ensure pam_unix module is enabled,Ensure pam_unix module is enabled,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
New,ADOPT,Configure pluggable module arguments,4.4.3.1.1,Ensure password failed attempts lockout is configured,Ensure password failed attempts lockout is set to 10 (or lower),"Adopt CIS.

Edit the /etc/security/faillock.conf file to set the parameter as follows:

deny = 10 (or lower)",Adopt CIS.,NIL,"deny to set to value of ""10"" or (lower),

Amend setting where necessary.

Reference HIM-ADS #2.2/S1 (j).",N,YES,Implemented in audit/remediation script.
New,ADOPT,Configure pluggable module arguments,4.4.3.1.2,Ensure password unlock time is configured,Ensure password unlock time is set to 900 (or higher),"Adopt CIS.

Edit the /etc/security/faillock.conf file to set the parameter as follows:

unlock_time = 900 (or higher)",Adopt CIS.,NIL,"unlock_time to set to value of ""900"" or higher.

Amend setting where necessary.",N,YES,Implemented in audit/remediation script.
N.A.,NOT ADOPTED,Configure pluggable module arguments,4.4.3.1.3,Ensure password failed attempts lockout includes root account,N.A.,N.A.,N.A.,N.A.,Not adopted as Synapxe PAM is managing breakglass accounts.,N,YES,Implemented in audit/remediation script.
N.A.,NOT ADOPTED,Configure pluggable module arguments,4.4.3.2.1,Ensure password number of changed characters is configured,N.A.,N.A.,N.A.,N.A.,Not adopted as this password requirement is currently not mandated in Synapxe HIM policies.,N,YES,Implemented in audit/remediation script.
New,ADOPT,Configure pluggable module arguments,4.4.3.2.2,Ensure password length is configured,Ensure password length is set to 12 (or higher),"Adopt CIS.

Edit the /etc/security/pwquality.conf file to set the parameter as follows:

minlen = 12 (or higher)",Adopt CIS.,NIL,"minlen to set to value of ""12"" (or higher). 

Amend setting where necessary.

Reference HIM-ADS #2.2/S1 (a).",N,YES,Implemented in audit/remediation script.
N.A.,NOT ADOPTED,Configure pluggable module arguments,4.4.3.2.4,Ensure password same consecutive characters is configured,N.A.,N.A.,N.A.,N.A.,Not adopted as this password requirement is currently not mandated in Synapxe HIM policies.,N,YES,Implemented in audit/remediation script.
N.A.,NOT ADOPTED,Configure pluggable module arguments,4.4.3.2.5,Ensure password maximum sequential characters is configured,N.A.,N.A.,N.A.,N.A.,Not adopted as this password requirement is currently not mandated in Synapxe HIM policies.,N,YES,Implemented in audit/remediation script.
New,ADOPT,Configure pluggable module arguments,4.4.3.2.6,Ensure password dictionary check is enabled,Ensure password dictionary check is enabled,Adopt CIS.,Adopt CIS.,NIL,"HIM-ADS states to ""Prohibit accepting passwords that are commonly used, guessable or compromised"".

Reference HIM-ADS #2.2/S1 (c).",N,YES,Implemented in audit/remediation script.
New,ADOPT,Configure pluggable module arguments,4.4.3.2.7,Ensure password quality is enforced for the root user,Ensure password quality is enforced for the root user,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
New,ADOPT,Configure pluggable module arguments,4.4.3.3.1,Ensure password history remember is configured,Ensurepassword history remember is set to 3 (or higher),"Adopt CIS.

Edit the /etc/security/pwquality.conf file to set the parameter as follows:

minclass = 3 (or higher)",Adopt CIS.,NIL,"remember to set to value of ""3"" (or higher). 

Amend setting where necessary.

Reference HIM-ADS #2.2/S1 (f).",N,YES,Implemented in audit/remediation script.
New,ADOPT,Configure pluggable module arguments,4.4.3.3.2,Ensure password history is enforced for the root user,Ensure password history is enforced for the root user,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
New,ADOPT,Configure pluggable module arguments,4.4.3.3.3,Ensure pam_pwhistory includes use_authtok,Ensure pam_pwhistory includes use_authtok,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
New,ADOPT,Configure pluggable module arguments,4.4.3.4.1,Ensure pam_unix does not include nullok,Ensure pam_unix does not include nullok,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
New,ADOPT,Configure pluggable module arguments,4.4.3.4.2,Ensure pam_unix does not include remember,Ensure pam_unix does not include remember,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
New,ADOPT,Configure pluggable module arguments,4.4.3.4.3,Ensure pam_unix includes a strong password hashing algorithm,Ensure pam_unix includes a strong password hashing algorithm,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
New,ADOPT,Configure pluggable module arguments,4.4.3.4.4,Ensure pam_unix includes use_authtok,Ensure pam_unix includes use_authtok,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
New,ADOPT,Configure shadow password suite parameters,4.5.1.1,Ensure strong password hashing algorithm is configured,Ensure strong password hashing algorithm is configured,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
Existing,ADOPT,Configure shadow password suite parameters,4.5.1.2,Ensure password expiration is 365 days or less,Ensure password expiration is 365 days or less,Adopt CIS.,Adopt CIS.,Accounts using SSH key instead of password authentication is exempted from this setting. SSH key renewal to align with PKI SSL cert renewal frequency.,"To align with HIM-ISP Password Management requirement.

Amend setting where necessary.",N,YES,Implemented in audit/remediation script.
Existing,ADOPT,Configure shadow password suite parameters,4.5.1.3,Ensure password expiration warning days is 7 or more,Ensure password expiration warning days is 14,Adopt CIS.,Adopt CIS.,NIL,"PASS_WARN_AGE to set to value of ""14"". 

Amend setting where necessary.",N,YES,Implemented in audit/remediation script.
Existing,ADOPT,Configure shadow password suite parameters,4.5.1.4,Ensure inactive password lock is 30 days or less,Ensure inactive password lock is 90 days,Adopt CIS.,Adopt CIS.,NIL,"INACTIVE to set to value of ""90"". 

Amend setting where necessary.",N,YES,Implemented in audit/remediation script.
Existing,ADOPT,Configure shadow password suite parameters,4.5.1.5,Ensure all users last password change date is in the past,Ensure all users last password change date is in the past,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
Existing,ADOPT,Configure root and system accounts and environment,4.5.2.1,Ensure default group for the root account is GID 0,Ensure default group for the root account is GID 0,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
New,ADOPT,Configure root and system accounts and environment,4.5.2.2,Ensure root user umask is configured,Ensure root user umask is configured,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
Existing,ADOPT,Configure root and system accounts and environment,4.5.2.3,Ensure system accounts are secured,Ensure system accounts are secured,Adopt CIS.,Adopt CIS.,"The following account is exempted from this setting, as it is required by Synapxe's EVMS:
- svevmsvaunix01 ",NIL,N,YES,Implemented in audit/remediation script.
New,ADOPT,Configure root and system accounts and environment,4.5.2.4,Ensure root password is set,Ensure root password is set,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
New,ADOPT,Configure user default environment,4.5.3.1,Ensure nologin is not listed in /etc/shells,Ensure nologin is not listed in /etc/shells,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
New,ADOPT,Configure user default environment,4.5.3.2,Ensure default user shell timeout is configured,Ensure default user shell timeout is configured,Adopt CIS.,Adopt CIS.,NIL,"TMOUT to set to value of ""900"". 

Amend setting where necessary.",N,YES,Implemented in audit/remediation script.
New,ADOPT,Configure user default environment,4.5.3.3,Ensure default user umask is configured,Ensure default user umask is configured,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
Existing,ADOPT,Configure rsyslog,5.1.1.1,Ensure rsyslog is installed,Ensure rsyslog is installed,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
Existing,ADOPT,Configure rsyslog,5.1.1.2,Ensure rsyslog service is enabled,Ensure rsyslog service is enabled,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
Existing,ADOPT,Configure rsyslog,5.1.1.3,Ensure journald is configured to send logs to rsyslog,Ensure journald is configured to send logs to rsyslog,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
Existing,ADOPT,Configure rsyslog,5.1.1.4,Ensure rsyslog default file permissions are configured,Ensure rsyslog default file permissions are configured,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
New,ADOPT,Configure rsyslog,5.1.1.7,Ensure rsyslog is not configured to receive logs from a remote client,Ensure rsyslog is not configured to receive logs from a remote client,Adopt CIS.,Adopt CIS.,Not applicable for HCC.,"For HCC, the logs are forwarded to AWS Cloudwatch Service or Azure Log Analytics Workspace through ""amazon-cloudwatch-agent"" and ""ama-agent"" respectively, rsyslog does not apply.",N,YES,Implemented in audit/remediation script.
N.A.,NOT ADOPTED,Configure journald,5.1.2.1.4,Ensure journald is not configured to receive logs from a remote client,N.A.,N.A.,N.A.,N.A.,"1) rsyslog is default logging mechanism. 
2) journald not in used.",N,YES,Implemented in audit/remediation script.
N.A.,NOT ADOPTED,Configure journald,5.1.2.3,Ensure journald is configured to compress large log files,N.A.,N.A.,N.A.,N.A.,"1) rsyslog is default logging mechanism. 
2) journald not in used.",N,YES,Implemented in audit/remediation script.
N.A.,NOT ADOPTED,Configure journald,5.1.2.4,Ensure journald is configured to write logfiles to persistent disk,N.A.,N.A.,N.A.,N.A.,"1) rsyslog is default logging mechanism. 
2) journald not in used.",N,YES,Implemented in audit/remediation script.
New,ADOPT,Configure journald,5.1.4,Ensure all logfiles have appropriate access configured,Ensure all logfiles have appropriate access configured,Adopt CIS.,Adopt CIS.,"The following log files are exempted from this setting, as they are created by the OS with the default permission of 644:

/var/log/wtmp, 
/var/log/btmp, 
/var/log/lastlog, 
/var/log/messages (clustered servers), 
/var/log/sa/*, 
/var/log/sdcsslog/SISIDSEvents.csv, 
/var/log/sdcsslog/SAEPRTEvents.csv, 
/var/log/sdcsslog/sisipsdaemon.log",NIL,N,YES,Implemented in audit/remediation script.
New,ADOPT,Ensure auditing is enabled,5.2.1.1,Ensure audit is installed,Ensure audit is installed,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
Existing,ADOPT,Ensure auditing is enabled,5.2.1.2,Ensure auditing for processes that start prior to auditd is enabled,Ensure auditing for processes that start prior to auditd is enabled,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
Existing,ADOPT,Ensure auditing is enabled,5.2.1.3,Ensure audit_backlog_limit is sufficient,Ensure audit_backlog_limit is sufficient,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
Existing,ADOPT,Ensure auditing is enabled,5.2.1.4,Ensure auditd service is enabled ,Ensure auditd service is enabled ,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
Existing,ADOPT,Configure Data Retention,5.2.2.1,Ensure audit log storage size is configured,Ensure audit log storage size is configured,Adopt CIS.,Adopt CIS.,NIL,max_log_file to be based on current operational requirement. Amend setting where necessary.,N,YES,Implemented in audit/remediation script.
Existing,ADOPT,Configure Data Retention,5.2.2.2,Ensure audit logs are not automatically deleted,Ensure audit logs are rotated,Adopt CIS.,Adopt CIS.,NIL,"max_log_file_action to set to value of  ""rotate"". Amend setting where necessary.",N,YES,Implemented in audit/remediation script.
New,ADOPT,Configure Data Retention,5.2.2.3,Ensure system is disabled when audit logs are full,Ensure system is suspended when audit logs are full,"Edit the /etc/audit/auditd.conf file to set the parameter as follows:

disk_full_action = <suspend> 
disk_error_action = <suspend>",Adopt CIS.,NIL,"disk_full_action to set to value of ""suspend"",
disk_error_action to set to value of ""suspend""

Amend setting where necessary.",N,YES,Implemented in audit/remediation script.
New,ADOPT,Configure Data Retention,5.2.2.4,Ensure system warns when audit logs are low on space,Ensure system warns when audit logs are low on space,"Edit the /etc/audit/auditd.conf file to set the parameter as follows:

space_left_action =""email
admin_space_left_action = suspend",Adopt CIS.,NIL,"space_left_action to set to value of ""email"", admin_space_left_action to set to value of ""suspend"". 

Amend setting where necessary.",N,YES,Implemented in audit/remediation script.
Existing,ADOPT,Configure auditd rules,5.2.3.1,Ensure changes to system administration scope (sudoers) is collected,Ensure changes to system administration scope (sudoers) is collected,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
Existing,ADOPT,Configure auditd rules,5.2.3.2,Ensure actions as another user are always logged,Ensure actions as another user are always logged,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
Existing,ADOPT,Configure auditd rules,5.2.3.3,Ensure events that modify the sudo log file are collected,Ensure events that modify the sudo log file are collected,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
Existing,ADOPT,Configure auditd rules,5.2.3.4,Ensure events that modify date and time information are collected,Ensure events that modify date and time information are collected,Adopt CIS.,Adopt CIS.,"For IBM Power Systems (PPC64lE), follow the same procedures as for 64 bit systems and ignore any entries with b32.",NIL,N,YES,Implemented in audit/remediation script.
Existing,ADOPT,Configure auditd rules,5.2.3.5,Ensure events that modify the system's network environment are collected,Ensure events that modify the system's network environment are collected,Adopt CIS.,Adopt CIS.,"For IBM Power Systems (PPC64lE), follow the same procedures as for 64 bit systems and ignore any entries with b32.",NIL,N,YES,Implemented in audit/remediation script.
Existing,ADOPT,Configure auditd rules,5.2.3.7,Ensure unsuccessful file access attempts are collected,Ensure unsuccessful file access attempts are collected,Adopt CIS.,Adopt CIS.,"For IBM Power Systems (PPC64lE), follow the same procedures as for 64 bit systems and ignore any entries with b32.",NIL,N,YES,Implemented in audit/remediation script.
Existing,ADOPT,Configure auditd rules,5.2.3.8,Ensure events that modify user/group information are collected,Ensure events that modify user/group information are collected,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
Existing,ADOPT,Configure auditd rules,5.2.3.9,Ensure discretionary access control permission modification events are collected,Ensure discretionary access control permission modification events are collected,Adopt CIS.,Adopt CIS.,"For IBM Power Systems (PPC64lE), follow the same procedures as for 64 bit systems and ignore any entries with b32.",NIL,N,YES,Implemented in audit/remediation script.
Existing,ADOPT,Configure auditd rules,5.2.3.10,Ensure successful file system mounts are collected,Ensure successful file system mounts are collected,Adopt CIS.,Adopt CIS.,"For IBM Power Systems (PPC64lE), follow the same procedures as for 64 bit systems and ignore any entries with b32.",NIL,N,YES,Implemented in audit/remediation script.
Existing,ADOPT,Configure auditd rules,5.2.3.11,Ensure session initiation information is collected,Ensure session initiation information is collected,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
Existing,ADOPT,Configure auditd rules,5.2.3.12,Ensure login and logout events are collected,Ensure login and logout events are collected,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
Existing,ADOPT,Configure auditd rules,5.2.3.13,Ensure file deletion events by users are collected,Ensure file deletion events by users are collected,Adopt CIS.,Adopt CIS.,"For IBM Power Systems (PPC64lE), follow the same procedures as for 64 bit systems and ignore any entries with b32.",NIL,N,YES,Implemented in audit/remediation script.
Existing,ADOPT,Configure auditd rules,5.2.3.14,Ensure events that modify the system's Mandatory Access Controls are collected,Ensure events that modify the system's Mandatory Access Controls are collected,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
Existing,ADOPT,Configure auditd rules,5.2.3.15,Ensure successful and unsuccessful attempts to use the chcon command are recorded,Ensure successful and unsuccessful attempts to use the chcon command are recorded,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
Existing,ADOPT,Configure auditd rules,5.2.3.16,Ensure successful and unsuccessful attempts to use the setfacl command are recorded,Ensure successful and unsuccessful attempts to use the setfacl command are recorded,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
Existing,ADOPT,Configure auditd rules,5.2.3.17,Ensure successful and unsuccessful attempts to use the chacl command are recorded,Ensure successful and unsuccessful attempts to use the chacl command are recorded,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
Existing,ADOPT,Configure auditd rules,5.2.3.18,Ensure successful and unsuccessful attempts to use the usermod command are recorded,Ensure successful and unsuccessful attempts to use the usermod command are recorded,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
Existing,ADOPT,Configure auditd rules,5.2.3.19,Ensure kernel module loading unloading and modification is collected,Ensure kernel module loading unloading and modification is collected,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
Existing,ADOPT,Configure auditd rules,5.2.3.20,Ensure the audit configuration is immutable,Ensure the audit configuration is immutable,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
New,ADOPT,Configure auditd file access,5.2.4.1,Ensure the audit log directory is 0750 or more restrictive,Ensure the audit log directory is 0750 or more restrictive,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
New,ADOPT,Configure auditd file access,5.2.4.2,Ensure audit log files are mode 0640 or less permissive,Ensure audit log files are mode 0640 or less permissive,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
New,ADOPT,Configure auditd file access,5.2.4.3,Ensure only authorized users own audit log files,Ensure only authorized users own audit log files,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
New,ADOPT,Configure auditd file access,5.2.4.4,Ensure only authorized groups are assigned ownership of audit log files,Ensure only authorized groups are assigned ownership of audit log files,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
New,ADOPT,Configure auditd file access,5.2.4.5,Ensure audit configuration files are 640 or more restrictive,Ensure audit configuration files are 640 or more restrictive,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
New,ADOPT,Configure auditd file access,5.2.4.6,Ensure audit configuration files are owned by root,Ensure audit configuration files are owned by root,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
New,ADOPT,Configure auditd file access,5.2.4.7,Ensure audit configuration files belong to group root,Ensure audit configuration files belong to group root,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
New,ADOPT,Configure auditd file access,5.2.4.8,Ensure audit tools are 755 or more restrictive,Ensure audit tools are 755 or more restrictive,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
New,ADOPT,Configure auditd file access,5.2.4.9,Ensure audit tools are owned by root,Ensure audit tools are owned by root,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
New,ADOPT,Configure auditd file access,5.2.4.10,Ensure audit tools belong to group root,Ensure audit tools belong to group root,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
Existing,ADOPT,Configure Integrity Checking,5.3.1,Ensure AIDE is installed,Ensure AIDE is installed,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
Existing,ADOPT,Configure Integrity Checking,5.3.2,Ensure filesystem integrity is regularly checked,Ensure filesystem integrity is regularly checked,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
